ticker,Date,Open,High,Low,Close,Volume,Daily Return
MSFT,2020-11-27,206.15709814866815,207.519642684716,205.37985873907556,206.5217132568359,14512200,
MSFT,2020-11-30,205.437491689779,206.0707768754735,202.30938234815488,205.40870666503903,33064800,-0.005389295751254575
MSFT,2020-12-01,205.83083759137511,208.5271562089488,204.71778276518572,207.46206665039065,30904500,0.009996460318987488
MSFT,2020-12-02,206.1859017974964,206.7520267240643,204.1900574028058,206.65606689453125,23724500,-0.0038850464032909038
MSFT,2020-12-03,205.92680232460577,207.6251915836904,205.00563782977983,205.57177734375,25120900,-0.00524683144838245
MSFT,2020-12-04,205.55261569818433,206.6656853723853,204.55468611392993,205.68695068359375,24666000,0.0005602585205612964
MSFT,2020-12-07,205.69653117219067,206.81919092081037,204.3723762756061,205.61976623535156,24620000,-0.00032663447058212114
MSFT,2020-12-08,205.3126872798385,208.1721111589476,204.2763827654862,207.2701416015625,23284100,0.008026345892845343
MSFT,2020-12-09,206.4545685538064,206.5217287203082,202.66438960856496,203.2305145263672,32440600,-0.019489671999938785
MSFT,2020-12-10,203.20174406539516,204.4587388392403,201.8487894566273,202.0023193359375,26733300,-0.006043360138569875
MSFT,2020-12-11,201.55130982077503,204.6890086289566,200.64934019188877,204.6314239501953,30979400,0.013015219938566691
MSFT,2020-12-14,204.4779166006267,207.4620856631206,204.26681669461777,205.5334014892578,28798400,0.00440781538656565
MSFT,2020-12-15,206.4641624379437,206.704047371014,203.65271805023912,205.46624755859375,27000600,-0.0003267300116549521
MSFT,2020-12-16,206.06118358324636,211.20431778476424,206.03239855894847,210.40789794921875,35023300,0.0240509107911544
MSFT,2020-12-17,210.9740263409514,211.95276110706337,209.10292652442595,210.542236328125,32515800,0.0006384664274279306
MSFT,2020-12-18,209.74578857421875,210.80128814640273,207.2797790521737,209.74578857421875,63354900,-0.003782840762957429
MSFT,2020-12-21,208.74789477288223,214.93692380229916,208.4888149169169,213.58396911621097,37181900,0.018299201943852594
MSFT,2020-12-22,213.67990881116995,216.50095801273704,212.87389893684067,214.87933349609375,22612200,0.006064895156892458
MSFT,2020-12-23,214.0829187368426,214.5147087051937,211.8663842100806,212.07748413085935,18699600,-0.013039175613811849
MSFT,2020-12-24,212.46131328554503,214.56270791406772,212.25021334578557,213.7375030517578,10550600,0.007827417076836651
