ID,ticker,Date,Open,High,Low,Close,Volume,Daily_Return,Return_Excel,SMA_20,SMA_50,VOL_20,Trend_20_50,Max_Close,Drawdown
1,AAPL,11/27/20,113.475,114.371,113.135,113.495,46691300,,,,,,,113.495,0
2,AAPL,11/30/20,113.865,117.759,113.709,115.89,169410200,0.0210997,0.021102251,,,,,115.89,0
3,AAPL,12/1/20,117.797,120.192,116.824,119.462,127728200,0.0308273,0.030822332,,,,,119.462,0
4,AAPL,12/2/20,118.781,120.095,117.681,119.813,89004200,0.00293356,0.002938173,,,,,119.813,0
5,AAPL,12/3/20,120.241,120.494,118.966,119.676,78967600,-0.00113735,-0.001143449,,,,,119.813,-0.001143449
6,AAPL,12/4/20,119.345,119.598,118.294,119.005,78260400,-0.00561258,-0.005606805,,,,,119.813,-0.006743842
7,AAPL,12/7/20,119.063,121.263,119.005,120.465,86712000,0.01227,0.012268392,,,,,120.465,0
8,AAPL,12/8/20,121.068,121.662,119.822,121.078,82225500,0.00509083,0.005088615,,,,,121.078,0
9,AAPL,12/9/20,121.224,122.606,117.788,118.547,115089200,-0.0209036,-0.02090388,,,,,121.078,-0.02090388
10,AAPL,12/10/20,117.301,120.582,116.96,119.968,81312200,0.0119888,0.011986807,,,,,121.078,-0.009167644
11,AAPL,12/11/20,119.18,119.501,117.35,119.16,86939800,-0.00673491,-0.006735129,,,,,121.078,-0.015841028
12,AAPL,12/14/20,119.345,120.075,118.313,118.547,79184500,-0.00514656,-0.005144344,,,,,121.078,-0.02090388
13,AAPL,12/15/20,121.039,124.505,120.835,124.485,157243700,0.0500903,0.050089838,,,,,124.485,0
14,AAPL,12/16/20,124.028,124.962,123.2,124.417,98208600,-0.00054736,-0.000546251,,,,,124.485,-0.000546251
15,AAPL,12/17/20,125.478,126.14,124.641,125.283,94359800,0.00696333,0.006960464,,,,,125.283,0
16,AAPL,12/18/20,125.536,125.673,122.772,123.297,192541500,-0.0158509,-0.015852111,,,,,125.283,-0.015852111
17,AAPL,12/21/20,121.701,124.904,120.173,124.826,121251600,0.0123955,0.012400951,,,,,125.283,-0.003647742
