ticker,total_5y_return_percent
AAPL,109.00622279004892
AMZN,66.7568642529659
DIS,-11.470634341822006
GOOGL,152.3481317995902
JPM,120.74101637626882
META,130.55751012452674
MSFT,101.90706971388863
NFLX,125.62091790532577
NVDA,328.43458187599026
PYPL,-78.32902388472576
TSLA,170.38440276155598
