ticker,avg_daily_return,daily_vol,sharpe_ratio
NVDA,0.0026170086205258188,0.03283488145178298,0.07970208829195305
JPM,0.0009620798117630982,0.015264033619207867,0.06302919894990547
GOOGL,0.0012139293370485274,0.01959448707325208,0.06195259577402414
MSFT,0.0008120085236166425,0.01619203605394742,0.05014863608944872
AAPL,0.0008685754803987962,0.017701336327834407,0.04906835644001677
META,0.0010402988854543963,0.02735385502075098,0.03803116177464611
NFLX,0.0010009634892854643,0.027280179529457414,0.03669196854824998
TSLA,0.0013576446435183743,0.03847371027628167,0.03528759336619887
AMZN,0.0005319272052029155,0.022130093871564508,0.024036373649838044
DIS,-0.00009139947682726699,0.018793489325780018,-0.004863358540975651
PYPL,-0.0006241356484838706,0.02634624809883301,-0.02368973548501262
