ticker,avg_daily_return,total_return_5y,cagr_5y,daily_vol
AAPL,0.0008685754803987962,1.0900622279004892,0.15886232311798043,0.017701336327834407
AMZN,0.0005319272052029155,0.667568642529659,0.1076861970788272,0.022130093871564508
DIS,-0.00009139947682726699,-0.11470634341822006,-0.024072691885077324,0.018793489325780018
GOOGL,0.0012139293370485274,1.523481317995902,0.2033723232106588,0.01959448707325208
JPM,0.0009620798117630982,1.2074101637626882,0.1715925666652489,0.015264033619207867
META,0.0010402988854543963,1.3055751012452674,0.1818322983985734,0.02735385502075098
MSFT,0.0008120085236166425,1.0190706971388863,0.1508806948903516,0.01619203605394742
NFLX,0.0010009634892854643,1.2562091790532577,0.1767274169846762,0.027280179529457414
NVDA,0.0026170086205258188,3.2843458187599026,0.3377559882143555,0.03283488145178298
PYPL,-0.0006241356484838706,-0.7832902388472576,-0.2634950082089149,0.02634624809883301
TSLA,0.0013576446435183743,1.7038440276155598,0.22010252839790145,0.03847371027628167
